sha256,agency_id,agency_name,document_title,date,num_violations,violations_list,query,response,input_tokens,output_tokens,cost,duration_ms
c29f0318b5acb6211fe74fc7a57ad8bc84b3d876891feea86da2364cc03b662b,CI820201294,METHODIST CHILDREN'S HOME,Special Investigation Report #2024C0000980SI,"January 24, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A special investigation was conducted at Methodist Children's Home after a report that a youth (Youth A) was found walking shoeless in winter weather with injuries, allegedly from an altercation involving other youths and staff. Interviews revealed Youth A had a history of aggression and AWOL incidents, and staff followed protocols by intervening in the fight, seeking medical care, and attempting to de-escalate the situation. The investigation found no substantial violations, concluding the facility complied with licensing rules.  

While the facility followed procedures, the repeated AWOL incidents and Youth A’s aggressive behavior suggest systemic challenges in managing high-risk youth, indicating shared responsibility between the facility (for potential gaps in supervision/resources) and external factors (like the youth’s complex needs).",2902,149,,5692
9581b494361f252a87d9dc72f19b7371c3752b2b5284f6c179cd41dd020610bd,CB470410104,ENNIS CENTER FOR CHILDREN - HOWELL,Special Investigation Report,"May 4, 2023",3,Rule 400.12419 Initial Services Plans; Rule 400.12420 Updated Services Plans; R 400.12418(2),"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into the Ennis Center for Children in Howell, Michigan, and identified violations related to the agency’s failure to provide necessary therapy, trauma assessments, and follow-up on establishing guardianship for a sibling group in care for 3-4 years. Despite identifying needs and making referrals, the agency lacked consistent follow-up to ensure services were provided and failed to monitor progress toward permanency goals, exacerbated by staffing challenges and frequent caseworker turnover. The agency was required to submit a corrective action plan within 15 days to address these issues or face disciplinary action. Culpability primarily lies with the agency’s administrative oversight and staffing instability, which hindered effective case management and compliance with state regulations.",2155,151,,3478
97c9be467056942d10d8292bfc5bd82860d4428ba0d20a569096c8d783f2f9bc,CI820201513,WOLVERINE CENTER,Special Investigation Report #2024C0000819SI,"January 4, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation at Wolverine Center in response to anonymous complaints regarding inadequate clothing, socks, sheets, and bathroom privacy, as well as claims of excessive cold due to air conditioning issues. The investigation included multiple onsite inspections, interviews with staff and youth, and a review of facility conditions. Findings concluded that the facility was in compliance with licensing rules, as youth were provided with adequate clothing, socks, and bedding, bathrooms had doors for privacy, and air conditioning was functioning appropriately. There was no evidence to substantiate the allegations. Culpability lies primarily with the anonymous complainant, as the accusations were unverified and the facility appears to have met regulatory standards.",3097,141,,3277
0bfb821b627c0e5d065e472d2f38496ccdb8e2e77c67bf7dbc6588e838e59119,CS210200969,BAY PINES CENTER,Special Investigation Report #2,"January 6, 2023",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (MDHHS) conducted a special investigation into allegations of improper restraint and inadequate medical care at Bay Pines Center, a treatment facility. The investigation focused on an incident where a youth alleged her arm was injured during a restraint and that her knee pain was not adequately addressed. The MDHHS reviewed interviews, video footage, and documentation, finding no substantial violations. The restraint was deemed properly performed, and the youth’s medical care was determined to be appropriate, despite her non-compliance with post-surgery treatment. Culpability lies with the system for not addressing underlying behavioral issues more effectively, though no specific wrongdoing was found in this instance.",5338,138,,4227
6f781f194669b273dff180fa6d0b7690e32cea730eec7f38e63a63f0f14d18bd,CI390403045,Let's Talk About it Girl's Home III,Special Investigation Report #2024C0001133SI,"Special Investigation Intake Date: February 9, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services investigated allegations that a staff member at Let's Talk About It Girl's Home III engaged in inappropriate conduct by having sexual intercourse with an unauthorized male in the facility in 2022. After interviewing multiple staff members, the youth involved, and reviewing documentation, the investigation found no evidence to substantiate the allegations. Staff 3 was initially terminated based on the allegations but was later rehired due to a lack of proof and staffing needs. The facility was found to be in compliance with licensing rules, and no substantial violations were identified. While the facility acted cautiously in terminating Staff 3, the decision to rehire her without conclusive evidence raises questions about accountability and due diligence in ensuring a safe environment for youth.",2901,150,,3440
5e8189515eae53361a0bd77ef92f774f7d65c268b67b0d5a5e857f5ebedc4ffc,CB730200994,Holy Cross Children's Services -Mid-Michigan,Special Investigation Report #2025SIC0000818,"Special Investigation Intake Date: June 25, 2025",1,Rule 400.12503 Policy and procedures.,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document details a special investigation conducted by the Michigan Department of Health and Human Services into an altercation between a staff member (Staff 1) and a youth (Youth A) at Holy Cross Children’s Services - Mid-Michigan. The incident occurred on June 15, 2025, when Youth A became aggressive after being denied permission to cook after hours, leading to a physical confrontation where both parties exchanged blows. Staff 1, who was attacked by Youth A, admitted to hitting Youth A on the head to free herself, but the investigation concluded that her actions did not demonstrate intentional harm. However, Staff 1 violated the facility’s no-restraint policy by attempting to restrict Youth A’s movement, resulting in a repeat violation. The facility is required to submit a corrective action plan. Culpability primarily lies with Youth A for initiating the physical assault, but Staff 1 shares responsibility for not fully adhering to the agency’s behavior management policies.",7891,197,,4920
83b4d07de51b52f4f368aa07da105e859107b6df1682d2c45c5e8731778f6b86,CP690201347,Michigan Department of Health and Human,Special Investigation Report #2021C0102020,"August 16, 2021",1,R 400.12405,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (DHHS) conducted a special investigation into the Otsego/Crawford/Oscoda DHHS facility, which oversees child welfare placements. The investigation revealed several violations, including the agency's failure to place a child with licensed relatives despite their availability, not notifying parents or lawyers of removals and placements, failing to offer required parenting time, and neglecting to hold necessary meetings regarding the child's removal. Additionally, the agency failed to document justifications for not placing the child with relatives or inviting them to Family Team Meetings (FTMs), which are essential for collaborative case planning. The agency has been instructed to submit a corrective action plan addressing these issues within 15 days. While the relatives involved breached confidentiality by sharing sensitive information, the agency bears primary responsibility for systemic failures in adhering to child welfare policies and ensuring compliance with placement and procedural rules.",2998,179,,3050
5628f953fcdd0523af6cb38599f28d8fa5a5cd99d40e673c1789ff5f13639af5,CI790296492,VASSAR HOUSE,Special Investigation Report #2024C0001112SI,"February 6, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This letter summarizes a special investigation into allegations that a youth facility, Vassar House, failed to provide medication to youth in November 2023. Investigators found no violations because records confirmed the facility had no youth present during that time—the last youth left in April 2023, and new placements didn’t resume until December 2023. The complaint was unsubstantiated due to lack of evidence.  

**Culpability:** The complainant appears responsible for the false allegation, as they provided no verifiable details and the timeline disproved their claim.",1100,112,,5467
38aecc8e441692c07bfe7ff4532aeadacc28453711703ff3127344f3414f2f47,CI820272493,Vista Maria - Mental Health,Special Investigation Report #2025SIC0000247,"Special Investigation Intake Date: December 30, 2024",2,Rule 400.4158; Rule 400.4109,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","A Michigan state investigation found that a staff member at Vista Maria, a mental health facility, verbally threatened a youth (""I’m gonna beat your ass"") during a confrontation, violating rules against harmful interventions. The facility was also cited for repeat violations, including staff using cell phones on duty. The state required a corrective action plan to address these issues.  

**Culpability:** The primary responsibility lies with the staff member for the aggressive threat, but Vista Maria’s leadership shares blame for failing to enforce policies and prevent repeat violations.",2717,107,,5315
e34c121001d910847d61559a6be1e468c5ac5ce1e9dec5914bade6bde96240ad,CP040200941,ALPENA/MONTMORENCY DHHS,Special Investigation Report,"March 20, 2023",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (DHHS) issued a Special Investigation Report to the ALPENA/MONTMORENCY DHHS facility, citing a violation for failing to notify the Division of Child Welfare Licensing (DCWL) when the agency relocated to a new address in March 2022. Chief Administrator Tina Lynn Smigelski acknowledged the oversight, attributing it to a lack of awareness of the notification requirement. DHHS mandated a corrective action plan within 15 days to address the violation and ensure future compliance. Culpability lies primarily with the leadership of ALPENA/MONTMORENCY DHHS for failing to follow proper protocols despite being informed of the need to report such changes.",1143,144,,3801
9bb872ad5b13e02a47a5e5f8074a15dd633784527b81773edcf4e41dc6dac024,CI790363049,CLARENCE FISCHER CENTER,Special Investigation Report #2025SIC0000964,Special Investigation Intake Date: 08/22/2025,0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document summarizes a special investigation into allegations of verbal abuse by a program director at the Clarence Fischer Center, a youth facility in Michigan. Multiple staff and youth were interviewed, with most stating the director used a firm but professional tone, though one former staff member and a youth (Youth D) reported instances of yelling and profanity. The investigation concluded no substantial violations were found, citing the director’s ""tough love"" approach as corrective rather than abusive.  

While no formal violation was established, the conflicting accounts suggest the director’s aggressive communication style—especially with Youth D—bordered on unprofessional conduct, warranting closer oversight to prevent potential escalation.",4181,133,,9232
d199e6cf9250468bf5b6011d249564e3d707995dde99bc8ab5cd2d650ecbcb4d,CI820272493,VISTA MARIA - MENTAL HEALTH,Special Investigation Report #2025SIC0000770,"Special Investigation Intake Date: June 4, 2025",2,Rule 400.4109 Program statement; Rule 400.4158 Intervention standards and prohibitions,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This investigation found multiple violations at Vista Maria, a mental health facility in Michigan, including staff using personal cell phones inappropriately, discussing adoption with a youth, failing to follow protocols for self-harm incidents, not documenting incidents, and giving excessive gifts to a youth without authorization. While some allegations (like physical abuse and sharing confidential information) were unsubstantiated, the facility was deemed non-compliant with licensing rules and must submit a corrective action plan.  

**Culpability:** The facility and Staff 1 bear clear responsibility for the violations, as policies were repeatedly ignored, and supervision failed to address misconduct.",8511,123,,6180
132d92fd4245e269a5b79089cbbf694484992ff0fe15beacd6cd97979944afb0,CI250201313,MOTT CHILDRENS RESIDENCE,Special Investigation Report #2025SIC0000532,"Special Investigation Intake Date: April 7, 2025",1,Rule 400.4158,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document is a **Special Investigation Report** from Michigan’s Department of Health and Human Services (MDHHS) regarding an incident at Mott Children’s Residence in Flint, MI. On **April 4, 2025**, a physical altercation occurred between **Youth A** and **Staff 1**, where the youth punched the staff member, and she retaliated by hitting him back—a violation of facility rules prohibiting physical punishment. Witness accounts varied, but video evidence was inconclusive. The report also examined allegations of verbal abuse by Staff 1, but these were **not substantiated**. The facility was cited for **repeat violations** of intervention standards and ordered to submit a **corrective action plan** within 15 days.  

**Culpability:** While Youth A initiated the violence, Staff 1 bears responsibility for violating policy by retaliating physically, despite provocation—a failure in professional conduct, especially given the facility’s history of similar violations. The facility’s leadership is also culpable for inadequate staff training and oversight.",5278,213,,7823
0e3fa6d07378c984b4bcf8ebba9db2ee2f26e63f64c6e86f65c1ee6850efbc27,CI820293953,LINCOLN CENTER,Special Investigation Report #2024SIC0001483,"Special Investigation Intake Date: June 3, 2024",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","This document summarizes a special investigation conducted by the Michigan Department of Health and Human Services into alleged physical abuse of a youth (""Youth A"") at the Lincoln Center, a juvenile facility operated by Spectrum Juvenile Justice Services. The investigation was initiated based on an allegation that Youth A was assaulted by unknown staff. After reviewing interviews with facility administrators, staff, and therapists, as well as incident reports and policies, the investigator found no evidence to substantiate the claim and concluded that the facility was in compliance with licensing rules. 

Culpability cannot be assigned in this case due to insufficient evidence to validate the allegations, though the investigation highlights the importance of robust oversight and transparency in youth facilities.",1219,136,,3278
70800f3cf6f0de5fb97b9f4b657b5a267c5e1ac9bd9fa160246a39fefa86e338,CI820201487,Vista Maria Open Residential,Special Investigation Report #2024SIC0001471,"Special Investigation Intake Date: May 29, 2024",1,Rule 400.4109,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services conducted a special investigation into Vista Maria Open Residential following allegations that a staff member provided a youth (Youth A) with a cell phone and planned an out-of-state trip with her. The investigation found no evidence to support these specific allegations, but it did uncover violations of agency policy, including inappropriate phone contact between Youth A and staff after her discharge, and staff providing personal phone numbers to Youth A, which is prohibited. The facility is now required to submit a corrective action plan to address these violations. While the initial allegations were unsubstantiated, the facility bears responsibility for failing to enforce policies designed to maintain professional boundaries between staff and youth.",3075,136,,3182
dcc115f60cb854db114e8db46a4451aeadacc2e788bec3e919005dbc0a833a12,CI370377212,New Hope Youth Center,Special Investigation Report #2024SIC0001372,"Special Investigation Intake Date: April 25, 2024",3,Rule 400.4126; Rule 400.4116; Rule 400.4109,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The **New Hope Youth Center** in Michigan underwent a **Special Investigation** by the Michigan Department of Health and Human Services due to multiple violations related to staff sufficiency, supervision, and safety protocols. The investigation revealed that the facility was **understaffed**, leading to inadequate supervision of youth, especially those at risk of self-harm or exhibiting violent behaviors. This resulted in multiple incidents, including youth self-harming, physical altercations, and staff being overwhelmed and unable to maintain control or enforce safety plans. The facility’s chief administrator failed to ensure compliance with licensing rules, such as maintaining proper staffing levels and implementing behavioral safety plans for high-risk youth. Additionally, required documentation, such as constant supervision logs, was incomplete or not maintained as mandated.

Ultimately, the **culpability** falls largely on the **facility’s administration** for failing to address staffing shortages, enforce safety protocols, and adequately manage high-risk youth, creating an unsafe environment for both residents and staff.",17960,199,,5821
b827703f59f6a9a12d5f8035cb9f459256a64458c1ed44ad02cee2de9939317e,CI670290156,Eagle Village Inc,Special Investigation Report #2021C0114040,"January 5, 2022",0,nan,"Explain what went down here, in a few sentences. In one extra sentence, weigh in on culpability.","The Michigan Department of Health and Human Services (MDHHS) conducted a special investigation into Eagle Village Inc., a child caring institution, following allegations that the facility improperly restrained a youth four times between September 21 and September 25, 2021, without justification of risk of harm to self or others. The investigation found that three of the four restraints were unjustified, as they were not preceded by behaviors warranting restraint under state rules. However, one restraint was justified due to a safety concern in a parking lot. The facility was required to submit a corrective action plan addressing compliance with licensing rules, staff responsibilities, and measures to ensure ongoing adherence. Repeat violations were noted, indicating prior corrective actions had not resolved the issue. Culpability lies primarily with Eagle Village Inc. for failing to adequately train staff and implement consistent restraint protocols, leading to repeated violations and unjustified use of restraints.",5361,180,,4666
